topic_id,query,question,narrative,covid,lexi_query,metamap_00_term_query,metamap_00_id_query,metamap_01_term_query,metamap_01_id_query,metamap_10_term_query,metamap_10_id_query,metamap_11_term_query,metamap_11_id_query,lexi_question,metamap_00_term_question,metamap_00_id_question,metamap_01_term_question,metamap_01_id_question,metamap_10_term_question,metamap_10_id_question,metamap_11_term_question,metamap_11_id_question,lexi_narrative,metamap_00_term_narrative,metamap_00_id_narrative,metamap_01_term_narrative,metamap_01_id_narrative,metamap_10_term_narrative,metamap_10_id_narrative,metamap_11_term_narrative,metamap_11_id_narrative,lexi_covid,metamap_00_term_covid,metamap_00_id_covid,metamap_01_term_covid,metamap_01_id_covid,metamap_10_term_covid,metamap_10_id_covid,metamap_11_term_covid,metamap_11_id_covid
11,coronavirus hospital rationing,guideline triaging patient infect coronavirus,seek information guideline prioritize covid-19 patient infect coronavirus base demographic clinical sign serology test,covid-19, Hospital,Hospitals Genus: Coronavirus Hospital environment Organization unit type - Hospital,C0019994 C0206419 C1510665 C1547192,Hospitals,C0019994,Hospitals Genus: Coronavirus,C0019994 C0206419,Hospitals,C0019994,,Patients Guidelines Coronavirus Infections Guideline [Publication Type] Specimen Type - Patient Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Veterinary Patient,C0030705 C0162791 C0206750 C0282423 C1550655 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908,Guidelines Coronavirus Infections,C0162791 C0206750,Patients Guidelines Coronavirus Infections,C0030705 C0162791 C0206750,Guidelines Coronavirus Infections,C0162791 C0206750, Alkali  ,Alkalies Demography Patients Serologic tests Guidelines Base Clinical Coronavirus Infections Structure of base of prostate Guideline [Publication Type] Physical findings control act - information Information Language Ability - Sign Base - RX Component Type base - RoleClass Specimen Type - Patient Error severity - Information Acknowledgement Detail Type - Information Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Unit dose - Base nitrogenous base Veterinary Patient Base - General Qualifier BPIFA4P gene Dental Base Anatomical base Clinical Lot Clinical Batch COVID-19,C0002055 C0011298 C0030705 C0036743 C0162791 C0178499 C0205210 C0206750 C0227958 C0282423 C0311392 C0870705 C1533716 C1547188 C1549548 C1550601 C1550655 C1561527 C1561528 C1578481 C1578483 C1578484 C1578485 C1578486 C1626935 C1704464 C1705908 C1705938 C1843354 C1880279 C2987514 C3272565 C4523057 C5203670,Demography Serologic tests Guidelines Coronavirus Infections,C0011298 C0036743 C0162791 C0206750,Alkalies Demography Patients Serologic tests Guidelines Clinical Coronavirus Infections Language Ability - Sign Acknowledgement Detail Type - Information COVID-19,C0002055 C0011298 C0030705 C0036743 C0162791 C0205210 C0206750 C1547188 C1561528 C5203670,Demography Serologic tests Guidelines Coronavirus Infections,C0011298 C0036743 C0162791 C0206750,,COVID-19,C5203670,,,COVID-19,C5203670,,
12,coronavirus quarantine,best practice hospital home maintain quarantine,seek information best practice activity duration quarantine expose infect covid-19 virus,covid-19, Quarantine,Quarantine Genus: Coronavirus,C0034386 C0206419,Quarantine,C0034386,Quarantine Genus: Coronavirus,C0034386 C0206419,Quarantine,C0034386, Hospital  Quarantine,Hospitals Maintenance Quarantine Home environment Hospital environment Organization unit type - Hospital Organization unit type - Home Visit User Code - Home Person location type - Home Address type - Home home health encounter Best Practices,C0019994 C0024501 C0034386 C0442519 C1510665 C1547192 C1547197 C1548341 C1548530 C1549632 C1553498 C3179154,Hospitals Quarantine Best Practices,C0019994 C0034386 C3179154,Hospitals Maintenance Quarantine Address type - Home Best Practices,C0019994 C0024501 C0034386 C1549632 C3179154,Hospitals Quarantine Best Practices,C0019994 C0034386 C3179154,    Quarantine ,Physical activity Quarantine Virus Active AS virus Infected Activities Duration (temporal concept) Duration brand of oxymetazoline control act - information Information Error severity - Information Acknowledgement Detail Type - Information Duration Best Practices Activity (animal life circumstance) Infection Physical Activity Measurement FDA Establishment Activity Terminology COVID-19,C0026606 C0034386 C0042776 C0205177 C0319157 C0439663 C0441655 C0449238 C0720099 C0870705 C1533716 C1561527 C1561528 C2926735 C3179154 C3668946 C3714514 C4049938 C4049939 C5203670,Physical activity Quarantine Best Practices,C0026606 C0034386 C3179154,Physical activity Quarantine AS virus Infected Acknowledgement Detail Type - Information Duration Best Practices COVID-19,C0026606 C0034386 C0319157 C0439663 C1561528 C2926735 C3179154 C5203670,Physical activity Quarantine Best Practices,C0026606 C0034386 C3179154,,COVID-19,C5203670,,,COVID-19,C5203670,,
13,coronavirus spread,transmission route coronavirus,look information possible way contract covid-19 people animal object,covid-19,,Genus: Coronavirus Spreading (qualifier value) Smear - instruction imperative,C0206419 C0332261 C1947932,,,Genus: Coronavirus Smear - instruction imperative,C0206419 C1947932,,,,Drug Administration Routes disease transmission qualifier Genus: Coronavirus disease transmission Route transmission process CDISC SDTM Route of Administration Terminology,C0013153 C0040722 C0206419 C0242781 C0449444 C1521797 C1879941,Drug Administration Routes,C0013153,Drug Administration Routes disease transmission qualifier Genus: Coronavirus,C0013153 C0040722 C0206419,Drug Administration Routes,C0013153,,Animals Persons Personal appearance Possible Contract agreement Physical object control act - information Object Class Information Transaction counts and value totals - contract Error severity - Information Acknowledgement Detail Type - Information Computer Programming Object Routine Contract Possibly Related to Intervention Possible diagnosis COVID-19,C0003062 C0027361 C0233426 C0332149 C0332522 C0347997 C0870705 C1518526 C1533716 C1548281 C1561527 C1561528 C1704861 C1705564 C1705910 C2362652 C5203670,,,Animals Persons Personal appearance Possible Contract agreement Acknowledgement Detail Type - Information Computer Programming Object COVID-19,C0003062 C0027361 C0233426 C0332149 C0332522 C1561528 C1704861 C5203670,,,,COVID-19,C5203670,,,COVID-19,C5203670,,
14,coronavirus super spreader,evidence relate covid-19 super spreader,seek range information relate number proportion super spreader pattern behavior lead spread potential prevention strategy target specifically toward super spreader,covid-19, Spreader,Spreader Genus: Coronavirus,C0183479 C0206419,,,Spreader Genus: Coronavirus,C0183479 C0206419,,, Spreader,Relate - vinyl resin Spreader Evidence COVID-19,C0163712 C0183479 C3887511 C5203670,,,Relate - vinyl resin Spreader Evidence COVID-19,C0163712 C0183479 C3887511 C5203670,,, Number  Spreader  Habits    Spreader,Relate - vinyl resin Spreader Numbers Count of entities control act - information Range Information MDF AttributeType - Number Error severity - Information Acknowledgement Detail Type - Information Proportion Sample Range Concept model range (foundation metadata concept) Analytical Procedure Range,C0163712 C0183479 C0237753 C0449788 C0870705 C1514721 C1533716 C1554106 C1561527 C1561528 C1709707 C2348147 C3542016 C4760793,,,Relate - vinyl resin Spreader Count of entities Acknowledgement Detail Type - Information Proportion Analytical Procedure Range,C0163712 C0183479 C0449788 C1561528 C1709707 C4760793,,,,COVID-19,C5203670,,,COVID-19,C5203670,,
15,coronavirus outside body,long coronavirus live outside body,seek range information sars-cov-2's virus's survival different environment surface liquid etc outside human body still viable transmission another human,covid-19,,Extrinsic Genus: Coronavirus Body of stomach Human body Whole body Human body structure Body structure Document Body Adult human body,C0205101 C0206419 C0227230 C0242821 C0444584 C0460148 C1268086 C1551342 C4082212,Human body,C0242821,Extrinsic Genus: Coronavirus Human body,C0205101 C0206419 C0242821,Human body,C0242821,,Extrinsic Long Genus: Coronavirus Body of stomach Human body Lengthened (qualifier value) Whole body Human body structure Body structure Live - Specimen Condition Document Body Long Variable Reside Adult human body,C0205101 C0205166 C0206419 C0227230 C0242821 C0392744 C0444584 C0460148 C1268086 C1548795 C1551342 C1706317 C2982691 C4082212,Human body,C0242821,Extrinsic Genus: Coronavirus Human body Lengthened (qualifier value) Live - Specimen Condition,C0205101 C0206419 C0242821 C0392744 C1548795,Human body,C0242821,  Liquid dose form Liquid,Environment Continuance of life Virus Homo sapiens Extrinsic Surface survival aspects Liquid diet Liquid substance AS virus control act - information Liquid (finding) Range Information Error severity - Information Acknowledgement Detail Type - Information Liquid Dosage Form Different Sample Range Concept model range (foundation metadata concept) Liquid (state of matter) Liquid Dose Form Category Analytical Procedure Range SARS-CoV-2,C0014406 C0038952 C0042776 C0086418 C0205101 C0205148 C0220921 C0301571 C0302908 C0319157 C0870705 C1304698 C1514721 C1533716 C1561527 C1561528 C1697794 C1705242 C2348147 C3542016 C4521998 C4722465 C4760793 C5203676,Environment Homo sapiens,C0014406 C0086418,Environment Continuance of life Homo sapiens Extrinsic Surface AS virus Liquid (finding) Acknowledgement Detail Type - Information Different Analytical Procedure Range SARS-CoV-2,C0014406 C0038952 C0086418 C0205101 C0205148 C0319157 C1304698 C1561528 C1705242 C4760793 C5203676,Environment Homo sapiens,C0014406 C0086418,,COVID-19,C5203670,,,COVID-19,C5203670,,
16,long coronavirus survive surface,long coronavirus remain stable surface,study time sars-cov-2 remains stable deposit infected person everyday surface household hospital setting coughing touching object,covid-19,,Surface Long Genus: Coronavirus survive Lengthened (qualifier value) Long Variable,C0205148 C0205166 C0206419 C0310255 C0392744 C1706317,,,Surface Genus: Coronavirus survive Lengthened (qualifier value),C0205148 C0206419 C0310255 C0392744,,,,Surface Long Stable status Genus: Coronavirus Lengthened (qualifier value) Patient Condition Code - Stable Long Variable,C0205148 C0205166 C0205360 C0206419 C0392744 C1547311 C1706317,,,Surface Genus: Coronavirus Lengthened (qualifier value) Patient Condition Code - Stable,C0205148 C0206419 C0392744 C1547311,,,    Coughing Paroxysmal cough Haemoptysis  ,Coughing Hospitals Households Persons Time Studies Surface Stable status Daily Deposition Physical object Infected Tactile contextual factors Hospital environment Object Class Person Info Organization unit type - Hospital Patient Condition Code - Stable Parameterized Data Type - Set Computer Programming Object Person Observer Study start time Touching Application Context SARS-CoV-2,C0010200 C0019994 C0020052 C0027361 C0040227 C0205148 C0205360 C0332173 C0333562 C0347997 C0439663 C0439815 C0542559 C1510665 C1518526 C1522390 C1547192 C1547311 C1552652 C1704861 C2347489 C2349982 C2584295 C4281677 C5203676,Hospitals Households Time Studies,C0019994 C0020052 C0040227,Coughing Hospitals Households Time Studies Surface Daily Deposition Infected Tactile Person Info Patient Condition Code - Stable Computer Programming Object Application Context SARS-CoV-2,C0010200 C0019994 C0020052 C0040227 C0205148 C0332173 C0333562 C0439663 C0439815 C1522390 C1547311 C1704861 C4281677 C5203676,Hospitals Households Time Studies,C0019994 C0020052 C0040227,,COVID-19,C5203670,,,COVID-19,C5203670,,
17,coronavirus clinical trial,clinical trial available coronavirus,seek specific covid-19 clinical trial range trial recruitment complete trial result,covid-19,,Clinical Trials Genus: Coronavirus Clinical Trial [Publication Type] observation - clinical trial,C0008976 C0206419 C1096775 C1552009,,,Genus: Coronavirus Clinical Trial [Publication Type],C0206419 C1096775,,,,Clinical Trials Genus: Coronavirus Availability of Clinical Trial [Publication Type] observation - clinical trial,C0008976 C0206419 C0470187 C1096775 C1552009,,,Genus: Coronavirus Availability of Clinical Trial [Publication Type],C0206419 C0470187 C1096775,,,  Recruitment Loudness recruitment,Clinical Trials Complete Specific qualifier value Auditory recruitment Clinical Trial [Publication Type] Result Range What subject filter - Result Completion Status for valid values - Complete observation - clinical trial Entity Determiner - specific Finish - dosing instruction imperative Sample Range Experimental Result Recruitment Concept model range (foundation metadata concept) Data operation - complete Complete Pharyngeal Contraction Analytical Procedure Range COVID-19,C0008976 C0205197 C0205369 C0271510 C1096775 C1274040 C1514721 C1546471 C1548561 C1552009 C1552740 C1706059 C2348147 C2825142 C2949735 C3542016 C3853530 C4283785 C4760793 C5203670,,,Clinical Trials Complete Auditory recruitment Entity Determiner - specific Experimental Result Analytical Procedure Range COVID-19,C0008976 C0205197 C0271510 C1552740 C2825142 C4760793 C5203670,,,,COVID-19,C5203670,,,COVID-19,C5203670,,
18,mask prevent coronavirus,best mask prevent infection covid-19,type mask use prevent infection covid-19,covid-19,,Masks Genus: Coronavirus PREVENT (product) ANKHD1 gene masked - No information STK26 gene,C0024861 C0206419 C0309872 C1538279 C1555580 C1845191,Masks,C0024861,Masks Genus: Coronavirus PREVENT (product),C0024861 C0206419 C0309872,Masks,C0024861,,Communicable Diseases Masks PREVENT (product) best (quality) ANKHD1 gene masked - No information Adverse Event Associated with Infection BEST1 gene STK26 gene Infection COVID-19,C0009450 C0024861 C0309872 C1522427 C1538279 C1555580 C1556682 C1826421 C1845191 C3714514 C5203670,Communicable Diseases Masks,C0009450 C0024861,Communicable Diseases Masks PREVENT (product) BEST1 gene COVID-19,C0009450 C0024861 C0309872 C1826421 C5203670,Communicable Diseases Masks,C0009450 C0024861,,Communicable Diseases Masks utilization qualifier PREVENT (product) Type - attribute Usage SGCG gene ANKHD1 gene Type - ParameterizedDataType masked - No information Adverse Event Associated with Infection STK26 gene Use - dosing instruction imperative Infection GDC Type Terminology COVID-19,C0009450 C0024861 C0042153 C0309872 C0332307 C0457083 C1420009 C1538279 C1552651 C1555580 C1556682 C1845191 C1947944 C3714514 C5202910 C5203670,Communicable Diseases Masks,C0009450 C0024861,Communicable Diseases Masks PREVENT (product) Usage GDC Type Terminology COVID-19,C0009450 C0024861 C0309872 C0457083 C5202910 C5203670,Communicable Diseases Masks,C0009450 C0024861,,COVID-19,C5203670,,,COVID-19,C5203670,,
19,alcohol sanitizer kill coronavirus,type hand sanitizer need destroy covid-19,study assess chemical concentration need destroy covid-19 virus,covid-19, Alcohol ,ethanol Alcohols Killing sanitizers Ethanol measurement Genus: Coronavirus Sacrifice Alcohol - Recreational Drug Use Code kill - ActRelationshipJoin,C0001962 C0001975 C0162388 C0183086 C0202304 C0206419 C0681205 C1547288 C1550555,ethanol Killing,C0001962 C0162388,ethanol Killing sanitizers Genus: Coronavirus,C0001962 C0162388 C0183086 C0206419,ethanol Killing,C0001962 C0162388, ,Hand Needs sanitizers Type - attribute Sacrifice Patient need for (contextual qualifier) Entire hand SGCG gene Type - ParameterizedDataType hand - unit of measure Destruction (action) GDC Type Terminology COVID-19,C0018563 C0027552 C0183086 C0332307 C0681205 C0686904 C1281583 C1420009 C1552651 C1552914 C1948029 C5202910 C5203670,Hand Needs,C0018563 C0027552,Hand Needs sanitizers Destruction (action) GDC Type Terminology COVID-19,C0018563 C0027552 C0183086 C1948029 C5202910 C5203670,Hand Needs,C0018563 C0027552,   ,Clinical Research Needs Virus Mental concentration Chemicals AS virus Room of building - Study Sacrifice Patient need for (contextual qualifier) Scientific Study Chemical restraint (procedure) Concentration measurement Assessed Study Object DICOM Study Destruction (action) Study Chemical or Textual Reference to Actual Test or Parameter Able to Concentrate Question Chemical Challenge Agent COVID-19,C0008972 C0027552 C0042776 C0086045 C0220806 C0319157 C0557651 C0681205 C0686904 C0947630 C1320374 C1446561 C1516048 C1705923 C1880229 C1948029 C2603343 C3272558 C3827302 C4761398 C5203670,Needs,C0027552,Clinical Research Needs AS virus Assessed Destruction (action) Able to Concentrate Question Chemical Challenge Agent COVID-19,C0008972 C0027552 C0319157 C1516048 C1948029 C3827302 C4761398 C5203670,Needs,C0027552,,COVID-19,C5203670,,,COVID-19,C5203670,,
20,coronavirus ace inhibitor,patient take angiotensin-converting enzyme inhibitor ace increase risk covid-19,look information interaction coronavirus angiotensin convert enzyme ace2 receptor risk patient take medication recommendation patient,covid-19,,Angiotensin-Converting Enzyme Inhibitors Genus: Coronavirus angiotensin-converting enzyme inhibitor activity Angiotensin-converting enzyme inhibitor (disposition),C0003015 C0206419 C1152583 C4541021,Angiotensin-Converting Enzyme Inhibitors,C0003015,Angiotensin-Converting Enzyme Inhibitors Genus: Coronavirus,C0003015 C0206419,Angiotensin-Converting Enzyme Inhibitors,C0003015,,"Angiotensin-Converting Enzyme Inhibitors Patients Risk cyclophosphamide/doxorubicin protocol CDE protocol-cyclophosphamide/doxorubicin/etoposide Angiotensin converting enzyme measurement cisplatin/cytarabine/etoposide protocol Increase Achinese language ACE gene ACE protein, human Take Specimen Type - Patient Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Veterinary Patient Adverse Childhood Experience Survey Angiotensin-converting enzyme inhibitor (disposition) Subject Risk COVID-19",C0003015 C0030705 C0035647 C0050385 C0108844 C0201888 C0279078 C0442805 C0574363 C1413931 C1452534 C1515187 C1550655 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908 C4284014 C4541021 C4552904 C5203670,"Angiotensin-Converting Enzyme Inhibitors Risk ACE protein, human",C0003015 C0035647 C1452534,"Angiotensin-Converting Enzyme Inhibitors Patients Risk Increase ACE protein, human Take COVID-19",C0003015 C0030705 C0035647 C0442805 C1452534 C1515187 C5203670,"Angiotensin-Converting Enzyme Inhibitors Risk ACE protein, human",C0003015 C0035647 C1452534,  Enzyme Thymoglobulin Lymphocyte immunoglobulin ,"Angiotensins Enzymes Patients Risk Genus: Coronavirus Personal appearance receptor Drug Interactions control act - information ACE2 gene Information Event Qualification - Interaction Specimen Type - Patient Error severity - Information Acknowledgement Detail Type - Information Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Interaction Veterinary Patient Angiotensin-1, human Enzyme (disposition) Subject Risk",C0003018 C0014442 C0030705 C0035647 C0206419 C0233426 C0597357 C0687133 C0870705 C1422064 C1533716 C1546938 C1550655 C1561527 C1561528 C1578481 C1578483 C1578484 C1578485 C1578486 C1704675 C1705908 C4521302 C4521602 C4552904,Angiotensins Enzymes Risk Drug Interactions,C0003018 C0014442 C0035647 C0687133,Angiotensins Enzymes Patients Risk Genus: Coronavirus Personal appearance receptor Drug Interactions ACE2 gene Acknowledgement Detail Type - Information,C0003018 C0014442 C0030705 C0035647 C0206419 C0233426 C0597357 C0687133 C1422064 C1561528,Angiotensins Enzymes Risk Drug Interactions,C0003018 C0014442 C0035647 C0687133,,COVID-19,C5203670,,,COVID-19,C5203670,,
21,coronavirus mortality,mortality rate overall specific population,seek information covid-19 fatality rate different country different population group base gender blood type factor,covid-19,,Mortality Vital Statistics Aspects of mortality statistics Genus: Coronavirus,C0026565 C0026566 C0206419,,,Aspects of mortality statistics Genus: Coronavirus,C0026566 C0206419,,,,Mortality Vital Statistics Death Rate Overall Publication Type Overall Specific population,C0026565 C0205848 C0282416 C1561607 C4740649,Death Rate Overall,C0205848 C1561607,Death Rate Overall Specific population,C0205848 C1561607 C4740649,Death Rate Overall,C0205848 C1561607,    Alkali ,Alkalies Blood Group (classification) Gender Base Structure of base of prostate Country control act - information Rating (action) Population Group Blood Types Country Code Factor Rate sex Information Amount type - Rate Base - RX Component Type base - RoleClass AddressPartType - country Error severity - Information Acknowledgement Detail Type - Information Jurisdictional Breadth - Country Unit dose - Base nitrogenous base Different Base - General Qualifier BPIFA4P gene CDISC SDTM Country Terminology Dental Base Mathematical Factor Encounter due to blood type Anatomical base COVID-19,C0002055 C0005810 C0079399 C0178499 C0227958 C0454664 C0870705 C0871208 C1257890 C1383165 C1511538 C1521761 C1521828 C1522384 C1533716 C1549480 C1549548 C1550601 C1550710 C1561527 C1561528 C1610174 C1626935 C1704464 C1705242 C1705938 C1843354 C1879931 C1880279 C2827422 C2911644 C2987514 C5203670,Gender Population Group sex,C0079399 C1257890 C1522384,Alkalies Blood Group (classification) Gender Population Group Factor Amount type - Rate AddressPartType - country Acknowledgement Detail Type - Information Different COVID-19,C0002055 C0005810 C0079399 C1257890 C1521761 C1549480 C1550710 C1561528 C1705242 C5203670,Gender Population Group,C0079399 C1257890,,COVID-19,C5203670,,,COVID-19,C5203670,,
22,coronavirus heart impact,cardiac complication likely patient covid-19,seek information type frequency mechanism cardiac complication cause coronavirus,covid-19,,Heart Genus: Coronavirus Entire heart IMPACT gene Impact,C0018787 C0206419 C1281570 C1825598 C4049986,,,Heart Genus: Coronavirus IMPACT gene,C0018787 C0206419 C1825598,,,,Patients Cardiac complication Probable diagnosis Probably Specimen Type - Patient Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Veterinary Patient COVID-19,C0030705 C0161816 C0332148 C0750492 C1550655 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908 C5203670,,,Patients Cardiac complication Probable diagnosis COVID-19,C0030705 C0161816 C0332148 C5203670,,,,Etiology aspects Cardiac complication Genus: Coronavirus Type - attribute With frequency Frequencies (time pattern) Mechanism (attribute) control act - information Spatial Frequency SGCG gene Science of Etiology Information Type - ParameterizedDataType Error severity - Information Acknowledgement Detail Type - Information Kind of quantity - Frequency Statistical Frequency Mechanism Component of Device CDISC SDTM Frequency Terminology Signal Frequency How Often Frequency GDC Type Terminology,C0015127 C0161816 C0206419 C0332307 C0376249 C0439603 C0441712 C0870705 C0871396 C1420009 C1524003 C1533716 C1552651 C1561527 C1561528 C1561548 C1705502 C1706376 C2347273 C3828023 C3898838 C4321352 C5202910,Frequency,C4321352,Etiology aspects Cardiac complication Genus: Coronavirus Mechanism (attribute) Acknowledgement Detail Type - Information Frequency GDC Type Terminology,C0015127 C0161816 C0206419 C0441712 C1561528 C4321352 C5202910,Frequency,C4321352,,COVID-19,C5203670,,,COVID-19,C5203670,,
23,coronavirus hypertension,kinds complication relate covid-19 associate hypertension,seek specific outcome hypertensive type patient less likely face infect virus,covid-19,,"Hypertensive disease Genus: Coronavirus Hypertension, CTCAE",C0020538 C0206419 C1963138,,,"Genus: Coronavirus Hypertension, CTCAE",C0206419 C1963138,,,,"Complication Hypertensive disease Relate - vinyl resin Associate - relationship Associate - assistant Hypertension, CTCAE Complication (attribute) COVID-19",C0009566 C0020538 C0163712 C0750490 C1706221 C1963138 C2362589 C5203670,,,"Complication Relate - vinyl resin Associate - assistant Hypertension, CTCAE COVID-19",C0009566 C0163712 C1706221 C1963138 C5203670,,,  Facial Afro-Caribbean childhood eruption   ,"Face Patients Virus Specific qualifier value AS virus Probable diagnosis Type - attribute Less Than Infected Smaller Probably Hypertensive (finding) Result Entire face SGCG gene ELOVL6 gene Specimen Type - Patient Type - ParameterizedDataType Entity Determiner - specific Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Veterinary Patient FANCE wt Allele FANCONI ANEMIA, COMPLEMENTATION GROUP E Infection Face (spatial concept) GDC Type Terminology",C0015450 C0030705 C0042776 C0205369 C0319157 C0332148 C0332307 C0439092 C0439663 C0547044 C0750492 C0857121 C1274040 C1281591 C1420009 C1423759 C1550655 C1552651 C1552740 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908 C2828055 C3160739 C3714514 C4284034 C5202910,Face,C0015450,Face Patients AS virus Probable diagnosis Less Than Infected Hypertensive (finding) Result Entity Determiner - specific GDC Type Terminology,C0015450 C0030705 C0319157 C0332148 C0439092 C0439663 C0857121 C1274040 C1552740 C5202910,Face,C0015450,,COVID-19,C5203670,,,COVID-19,C5203670,,
24,coronavirus diabetes,kinds complication relate covid-19 associate diabetes,seek specific outcome diabetic type patient less likely face infect virus,covid-19,,Diabetes Diabetes Mellitus Genus: Coronavirus,C0011847 C0011849 C0206419,Diabetes Mellitus,C0011849,Diabetes Mellitus Genus: Coronavirus,C0011849 C0206419,Diabetes Mellitus,C0011849,,Complication Diabetes Diabetes Mellitus Relate - vinyl resin Associate - relationship Associate - assistant Complication (attribute) COVID-19,C0009566 C0011847 C0011849 C0163712 C0750490 C1706221 C2362589 C5203670,Diabetes Mellitus,C0011849,Complication Diabetes Mellitus Relate - vinyl resin Associate - assistant COVID-19,C0009566 C0011849 C0163712 C1706221 C5203670,Diabetes Mellitus,C0011849,  Facial Afro-Caribbean childhood eruption   ,"Face Patients Virus Specific qualifier value diabetic AS virus Probable diagnosis Type - attribute Less Than Infected Smaller Probably Result Entire face SGCG gene ELOVL6 gene Specimen Type - Patient Type - ParameterizedDataType Entity Determiner - specific Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Veterinary Patient FANCE wt Allele FANCONI ANEMIA, COMPLEMENTATION GROUP E Infection Face (spatial concept) GDC Type Terminology",C0015450 C0030705 C0042776 C0205369 C0241863 C0319157 C0332148 C0332307 C0439092 C0439663 C0547044 C0750492 C1274040 C1281591 C1420009 C1423759 C1550655 C1552651 C1552740 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908 C2828055 C3160739 C3714514 C4284034 C5202910,Face,C0015450,Face Patients diabetic AS virus Probable diagnosis Less Than Infected Result Entity Determiner - specific GDC Type Terminology,C0015450 C0030705 C0241863 C0319157 C0332148 C0439092 C0439663 C1274040 C1552740 C5202910,Face,C0015450,,COVID-19,C5203670,,,COVID-19,C5203670,,
25,coronavirus biomarkers,biomarkers predict severe clinical course 2019-ncov infection,look information biomarkers predict disease outcome people infect coronavirus specifically predict severe fatal outcome,covid-19,,Biological Markers Genus: Coronavirus,C0005516 C0206419,,,Biological Markers Genus: Coronavirus,C0005516 C0206419,,,,Biological Markers Communicable Diseases Adverse Event Associated with Infection Severe clinical course Infection SARS-CoV-2,C0005516 C0009450 C1556682 C1832406 C3714514 C5203676,Communicable Diseases,C0009450,Biological Markers Communicable Diseases Severe clinical course SARS-CoV-2,C0005516 C0009450 C1832406 C5203676,Communicable Diseases,C0009450,,Biological Markers Personal appearance Disease Outcome control act - information Information Error severity - Information Acknowledgement Detail Type - Information CDISC SDTM Disease Outcome Terminology,C0005516 C0233426 C0679250 C0870705 C1533716 C1561527 C1561528 C3542417,,,Biological Markers Personal appearance Acknowledgement Detail Type - Information CDISC SDTM Disease Outcome Terminology,C0005516 C0233426 C1561528 C3542417,,,,COVID-19,C5203670,,,COVID-19,C5203670,,
26,coronavirus early symptom,initial symptom covid-19,study patient first clinical manifestation develop upon active infection,covid-19,,Genus: Coronavirus Early Symptoms Symptom:Find:Pt:^Patient:Nom,C0206419 C1279919 C1457887 C3854129,Symptoms,C1457887,Genus: Coronavirus Early Symptoms,C0206419 C1279919 C1457887,Symptoms,C1457887,,Initially Firstly Symptoms Initial (abbreviation) Initial Adverse Event and Product Problem Report Initial Usage Symptom:Find:Pt:^Patient:Nom COVID-19,C0205265 C1279901 C1457887 C1555582 C1705684 C1705685 C3854129 C5203670,Symptoms,C1457887,Firstly Symptoms COVID-19,C1279901 C1457887 C5203670,Symptoms,C1457887,,Clinical Research Communicable Diseases Patients Active Clinical Manifest First (number) Room of building - Study Active State Active brand of pseudoephedrine-triprolidine Scientific Study Firstly Manifestation of Specimen Type - Patient Concept Status - Active Adverse Event Associated with Infection EditStatus - Active Managed Participation Status - active Role Status - active Entity Status - active Document Storage - active Document Storage Status - Active Immunization Registry Status - Active Mail Claim Party - Patient Report source - Patient Relationship modifier - Patient Specimen Source Codes - Patient Disabled Person Code - Patient Veterinary Patient Study Object Active Control Upon - dosing instruction fragment DICOM Study Active Study Study Clinical Lot Infection active (HL7 RoleLink) Active License Clinical Batch,C0008972 C0009450 C0030705 C0205177 C0205210 C0205319 C0205435 C0557651 C0679217 C0718247 C0947630 C1279901 C1280464 C1550655 C1553875 C1556682 C1561507 C1561508 C1561509 C1561510 C1561511 C1561512 C1561513 C1578481 C1578483 C1578484 C1578485 C1578486 C1705908 C1705923 C1706449 C1720176 C1880229 C2347179 C2603343 C3272565 C3714514 C3853793 C3888249 C4523057,Communicable Diseases,C0009450,Clinical Research Communicable Diseases Patients Active Clinical Manifest First (number) Upon - dosing instruction fragment,C0008972 C0009450 C0030705 C0205177 C0205210 C0205319 C0205435 C1720176,Communicable Diseases,C0009450,,COVID-19,C5203670,,,COVID-19,C5203670,,
