run_tag,ndcg_cut_20,P_20,bpref,map,Rprec,recall_10,avg
CincyMedIR-2-4-2-4,0.1707,0.1544,0.2084,0.0398,0.0877,0.0207,0.11361666666666666
CincyMedIR-2-4-3-3,0.1277,0.1222,0.1836,0.0295,0.0679,0.0149,0.09096666666666668
CincyMedIR-2-4-3-4,0.1715,0.1522,0.2103,0.0408,0.0871,0.0209,0.1138
CincyMedIR-2-4-4-3,0.1281,0.1211,0.1888,0.0308,0.0716,0.0171,0.09291666666666666
CincyMedIR-2-4-4-4,0.1562,0.1389,0.207,0.038,0.0813,0.0221,0.10725
CincyMedIR-2-4-5-3,0.1278,0.1222,0.1839,0.0296,0.068,0.0149,0.09106666666666667
CincyMedIR-2-4-5-4,0.1754,0.1633,0.2112,0.0421,0.0909,0.0211,0.11733333333333333
CincyMedIR-2-5,0.1098,0.1178,0.2245,0.048,0.0891,0.0143,0.10058333333333333
CincyMedIR-2-6-1-3,0.1107,0.1167,0.224,0.0479,0.0893,0.0144,0.1005
CincyMedIR-2-6-1-4,0.1108,0.12,0.2243,0.0476,0.0891,0.0144,0.10103333333333334
CincyMedIR-2-6-2-3,0.0845,0.0944,0.2069,0.0383,0.067,0.008,0.08318333333333335
CincyMedIR-2-6-2-4,0.1105,0.1167,0.2235,0.0472,0.0874,0.0147,0.09999999999999999
CincyMedIR-2-6-3-3,0.1044,0.1122,0.2239,0.0461,0.0832,0.0117,0.09691666666666665
CincyMedIR-2-6-3-4,0.1094,0.1167,0.2237,0.0475,0.0876,0.0144,0.09988333333333334
CincyMedIR-2-6-4-3,0.1105,0.1167,0.2232,0.0474,0.0877,0.015,0.10008333333333333
CincyMedIR-2-6-4-4,0.1115,0.1211,0.2242,0.0476,0.0891,0.0144,0.10131666666666667
CincyMedIR-2-6-5-3,0.0874,0.0922,0.2129,0.0414,0.0724,0.0095,0.08596666666666668
CincyMedIR-2-6-5-4,0.1094,0.1167,0.2237,0.0475,0.0874,0.0144,0.09985000000000001
CincyMedIR-2-7,0.2482,0.2444,0.3094,0.0804,0.1524,0.0334,0.17803333333333335
CincyMedIR-2-8-1-3,0.2493,0.2489,0.308,0.0787,0.1547,0.0275,0.17785
CincyMedIR-2-8-1-4,0.2447,0.2389,0.301,0.0772,0.1486,0.0317,0.17368333333333333
CincyMedIR-2-8-2-3,0.2325,0.2289,0.3037,0.0753,0.1448,0.0254,0.16843333333333335
CincyMedIR-2-8-2-4,0.2004,0.19,0.2679,0.0472,0.0994,0.0181,0.13716666666666666
CincyMedIR-2-8-3-3,0.2431,0.2433,0.3053,0.0769,0.1523,0.0258,0.17445
CincyMedIR-2-8-3-4,0.2312,0.2222,0.2858,0.0695,0.141,0.0267,0.1627333333333333
CincyMedIR-2-8-4-3,0.2481,0.2489,0.3071,0.0781,0.1544,0.0269,0.17725000000000002
CincyMedIR-2-8-4-4,0.2421,0.2356,0.2969,0.0755,0.147,0.0316,0.17145
CincyMedIR-2-8-5-3,0.2492,0.2511,0.3076,0.0784,0.1546,0.0275,0.17806666666666665
CincyMedIR-2-8-5-4,0.2247,0.2167,0.2808,0.0654,0.1307,0.0245,0.15713333333333335
CincyMedIR-2-9,0.109,0.1167,0.2218,0.0478,0.0889,0.0149,0.09985000000000001
CincyMedIR-2-10-1-3,0.1071,0.1144,0.225,0.0475,0.0893,0.0165,0.09996666666666668
CincyMedIR-2-10-1-4,0.1039,0.1122,0.2239,0.0469,0.0872,0.015,0.09818333333333334
CincyMedIR-2-10-2-3,0.0817,0.0922,0.2161,0.0405,0.0721,0.0101,0.08544999999999998
CincyMedIR-2-10-2-4,0.1001,0.1067,0.223,0.045,0.0806,0.0109,0.09438333333333332
CincyMedIR-2-10-3-3,0.0992,0.1089,0.2257,0.0453,0.0857,0.0151,0.09665
CincyMedIR-2-10-3-4,0.1037,0.11,0.2232,0.0464,0.0852,0.013,0.09691666666666666
CincyMedIR-2-10-4-3,0.1055,0.1111,0.2257,0.0472,0.0888,0.0164,0.09911666666666669
CincyMedIR-2-10-4-4,0.1066,0.1144,0.224,0.0472,0.0873,0.0147,0.09903333333333333
CincyMedIR-2-10-5-3,0.0899,0.0978,0.2173,0.0427,0.0786,0.0113,0.0896
CincyMedIR-2-10-5-4,0.1038,0.11,0.2238,0.0465,0.0852,0.013,0.09705
