19,"Able to Concentrate Question, Concentration measurement, Mental concentration, Destruction (action), Sacrifice, AS virus, Virus, Alcohols, Chemical or Textual Reference to Actual Test or Parameter, Chemicals, Ethanol, Needs, Patient need for (contextual qualifier), Room of building - Study, Study, sanitizers"
20,"Angiotensin-1, human, Angiotensins, Risk, Subject Risk, Genus: Coronavirus, Peptidyl-Dipeptidase A, Patients, ACE protein, human, Adverse Childhood Experience Survey, ACE2 gene, Enzyme Inhibitor Drugs, Enzyme Inhibitors, Enzyme inhibitor (disposition), Increased risk, Information, Interaction, Recommendation, Taking medication (activity), receptor"
21,"Mortality Vital Statistics, Aspects of mortality statistics, Death Rate, Genus: Coronavirus, Overall, Overall Publication Type, Population Group, Different, geographic population, Blood Group (classification), Blood Types, Country, Country Code, Entity Determiner - specific, Factor, Information, Mathematical Factor, Rate, Rating (action), Specific qualifier value"
22,"Genus: Coronavirus, Cardiac complication, Heart, Patients, Frequencies (time pattern), Frequency, How Often, IMPACT gene, Impact, Information, Kind of quantity - Frequency, Mechanism (attribute), Mechanism Component of Device, Probable diagnosis, Probably, Spatial Frequency, Statistical Frequency, Type - attribute, With frequency"
23,"Hypertension, CTCAE, Hypertensive disease, Genus: Coronavirus, Face, Face (spatial concept), Type - attribute, Patients, AS virus, Associated with, Complication, Complication (attribute), Entity Determiner - specific, Hypertensive (finding), Probable diagnosis, Probably, Result, Specific qualifier value, Virus"
24,"Genus: Coronavirus, Face, Face (spatial concept), Diabetes, Diabetes Mellitus, Type - attribute, Patients, AS virus, Associated with, Complication, Complication (attribute), Entity Determiner - specific, Probable diagnosis, Probably, Result, Specific qualifier value, Virus, diabetic"
25,"Genus: Coronavirus, Biological Markers, Infection, CDISC SDTM Disease Outcome Terminology, Disease Outcome, Infected, Information, Persons, Severe clinical course"
26,"Genus: Coronavirus, Infection, Firstly, Symptom:Find:Pt:^Patient:Nom, Symptoms, Patients, Active, Active License, Clinical, Early, First (number), Initial (abbreviation), Initial Usage, Initially, Manifest, Manifestation of, Room of building - Study, Study, active (HL7 RoleLink)"
27,"Genus: Coronavirus, Asymptomatic, Infected, Known, Persons, Room of building - Study, Show, Study, Symptom:Find:Pt:^Patient:Nom, Symptoms"
28,"Hydroxychloroquine, Genus: Coronavirus, Treating, Clinical Research, Evidence, Numerical value, basic research, benefit"
29,"Genus: Coronavirus, Proteins, Drug Delivery Systems, Pharmaceutical Preparations, Pharmacologic Substance, SARS coronavirus, protein protein interaction, Approved, Base - General Qualifier, Basis - conceptual entity, Information, NR4A2 protein, human, potential, Entry (data), Host Cell, Increment, Molecule, Representation (action), Severe Acute Respiratory Syndrome, Stair (equipment), Step (specific stage), Structural protein, Therapeutic, Therapeutic procedure, Treatment Step, information seeking, receptor, virus by host"
30,"Genus: Coronavirus, Patients, Clinical, Entity Determiner - specific, Information, Result, Specific qualifier value, Treating, Treatment Effectiveness"
